MOT.Q0,MOT.Q1,MOT.Q3,Label
0.828943,-0.003906,-0.242981,0
0.331271,-0.542725,-0.612427,2
0.323069,-0.541138,-0.616089,2
0.831387,0.049011,-0.044983,1
0.493142,-0.194824,-0.263,1
0.46652,-0.085938,-0.165527,1
0.309215,-0.565613,-0.646057,2
0.309389,-0.565613,-0.645935,2
0.721678,0.0448,-0.148804,0
0.65796,-0.06543,-0.338745,1
0.775728,0.0177,-0.197449,0
0.812678,0.149536,-0.080383,1
0.853422,0.010254,-0.15155,0
0.308782,-0.565552,-0.64624,2
0.674671,-0.023132,0.057983,1
0.331524,-0.542725,-0.611633,2
0.31214,-0.565125,-0.646118,2
0.678734,-0.147095,-0.282166,1
0.702706,-0.054626,0.077454,1
0.320965,-0.541077,-0.616211,2
0.310653,-0.567261,-0.644653,2
0.669133,0.009277,0.024658,1
0.329773,-0.541809,-0.613342,2
0.821039,0.113342,-0.048828,1
0.62997,-0.199585,-0.359985,1
0.751271,0.023987,-0.189819,0
0.805145,-0.035461,-0.199036,0
0.332308,-0.542542,-0.611511,2
0.688033,0.081665,-0.121887,0
0.715781,-0.019043,-0.016235,1
0.664113,-0.012207,-0.181763,0
0.685554,0.032349,-0.119568,0
0.330831,-0.542358,-0.611816,2
0.321518,-0.54126,-0.616699,2
0.545255,-0.141235,-0.249878,1
0.769049,0.029602,-0.158691,0
0.590322,-0.172119,-0.258606,1
0.322957,-0.543213,-0.614319,2
0.462898,-0.171692,-0.176025,1
0.325687,-0.541931,-0.613586,2
0.330749,-0.542419,-0.612183,2
0.470544,-0.200256,-0.196655,1
0.742787,0.01123,0.031311,1
0.845789,-0.042908,-0.198059,0
0.30921,-0.565857,-0.645691,2
0.709206,0.060303,-0.134644,0
0.654754,-0.004028,0.035339,1
0.660478,-0.017395,-0.184326,0
0.321766,-0.541504,-0.615417,2
0.322662,-0.543213,-0.61438,2
0.791591,0.105408,-0.019897,1
0.834815,0.099976,-0.091614,1
0.309513,-0.565552,-0.645813,2
0.323541,-0.541748,-0.614929,2
0.322529,-0.541138,-0.616699,2
0.673851,0.105957,-0.094971,0
0.790841,-0.053772,-0.175049,0
0.570136,-0.255981,-0.287537,1
0.325938,-0.542603,-0.612671,2
0.330966,-0.542297,-0.611938,2
0.331345,-0.542664,-0.612488,2
0.652285,-0.053528,0.058105,1
0.846056,-0.053711,-0.19989,0
0.71146,0.001892,0.032654,1
0.33239,-0.54248,-0.611755,2
0.324769,-0.540649,-0.614685,2
0.412455,-0.107788,-0.2547,1
0.694695,0.105469,-0.095154,0
0.806491,0.07196,-0.043091,1
0.320928,-0.539856,-0.616455,2
0.71293,0.042114,-0.135925,0
0.321036,-0.539551,-0.61676,2
0.322339,-0.542725,-0.614746,2
